sample,test_size,alpha,actual_prop,pred_prop,abs_error,accuracy,quantifier,f-measure,best_threshold
9,10,0.05,0.0,0.0,0.0,1.0,T50,,0.94
9,10,0.05,0.0,0.2,0.2,0.8,MS,,0.75
9,10,0.05,0.0,0.04,0.04,1.0,HDy,,0.94
9,10,0.05,0.0,0.02,0.02,1.0,DyS,,0.94
9,10,0.05,0.0,0.22,0.22,0.8,SORD,,0.75
9,10,0.05,0.0,0.3,0.3,0.7,SMM,,0.69
10,10,0.05,0.0,0.3,0.3,0.7,CC,,0.5
10,10,0.05,0.0,0.13,0.13,0.9,ACC,,0.88
10,10,0.05,0.0,0.04,0.04,1.0,X,,0.98
10,10,0.05,0.0,0.13,0.13,0.9,MAX,,0.88
10,10,0.05,0.0,0.15,0.15,0.9,T50,,0.88
10,10,0.05,0.0,0.05,0.05,1.0,MS,,0.98
10,10,0.05,0.0,0.09,0.09,0.9,HDy,,0.88
10,10,0.05,0.0,0.09,0.09,0.9,DyS,,0.88
10,10,0.05,0.0,0.05,0.05,0.9,SORD,,0.88
10,10,0.05,0.0,0.17,0.17,0.8,SMM,,0.75
1,10,0.1,0.1,0.1,0.0,0.8,CC,,0.5
1,10,0.1,0.1,0.0,0.1,0.9,ACC,,0.97
1,10,0.1,0.1,0.0,0.1,0.9,X,,0.97
1,10,0.1,0.1,0.0,0.1,0.9,MAX,,0.97
1,10,0.1,0.1,0.15,0.05,0.8,T50,,0.5
1,10,0.1,0.1,0.0,0.1,0.9,MS,,0.97
1,10,0.1,0.1,0.03,0.07,0.9,HDy,,0.97
1,10,0.1,0.1,0.02,0.08,0.9,DyS,,0.97
1,10,0.1,0.1,0.0,0.1,0.9,SORD,,0.97
1,10,0.1,0.1,0.15,0.05,0.8,SMM,,0.5
2,10,0.1,0.1,0.5,0.4,0.6,CC,0.33,0.5
2,10,0.1,0.1,0.43,0.33,0.7,ACC,0.4,0.75
2,10,0.1,0.1,0.49,0.39,0.6,X,0.33,0.5
2,10,0.1,0.1,0.43,0.33,0.7,MAX,0.4,0.75
2,10,0.1,0.1,0.35,0.25,0.7,T50,0.4,0.75
2,10,0.1,0.1,0.44,0.34,0.7,MS,0.4,0.75
2,10,0.1,0.1,0.25,0.15,0.8,HDy,0.5,0.88
2,10,0.1,0.1,0.35,0.25,0.7,DyS,0.4,0.75
2,10,0.1,0.1,0.45,0.35,0.6,SORD,0.33,0.5
2,10,0.1,0.1,0.48,0.38,0.6,SMM,0.33,0.5
3,10,0.1,0.1,0.3,0.2,0.8,CC,0.5,0.5
3,10,0.1,0.1,0.13,0.03,1.0,ACC,1.0,0.94
3,10,0.1,0.1,0.19,0.09,0.9,X,0.67,0.75
3,10,0.1,0.1,0.13,0.03,1.0,MAX,1.0,0.94
3,10,0.1,0.1,0.15,0.05,1.0,T50,1.0,0.94
3,10,0.1,0.1,0.08,0.02,1.0,MS,1.0,0.94
3,10,0.1,0.1,0.05,0.05,1.0,HDy,1.0,0.94
3,10,0.1,0.1,0.05,0.05,1.0,DyS,1.0,0.94
3,10,0.1,0.1,0.1,0.0,1.0,SORD,1.0,0.94
3,10,0.1,0.1,0.21,0.11,0.9,SMM,0.67,0.75
4,10,0.1,0.1,0.2,0.1,0.9,CC,0.67,0.5
4,10,0.1,0.1,0.0,0.1,0.9,ACC,1.0,0.99
4,10,0.1,0.1,0.04,0.06,0.9,X,1.0,0.99
4,10,0.1,0.1,0.0,0.1,0.9,MAX,1.0,0.99
4,10,0.1,0.1,0.15,0.05,1.0,T50,1.0,0.88
4,10,0.1,0.1,0.08,0.02,1.0,MS,1.0,0.88
4,10,0.1,0.1,0.28,0.18,0.8,HDy,0.5,0.25
4,10,0.1,0.1,0.24,0.14,0.9,DyS,0.67,0.5
4,10,0.1,0.1,0.06,0.04,1.0,SORD,1.0,0.88
4,10,0.1,0.1,0.23,0.13,0.9,SMM,0.67,0.5
5,10,0.1,0.1,0.3,0.2,0.8,CC,0.5,0.5
5,10,0.1,0.1,0.13,0.03,0.9,ACC,0.67,0.75
5,10,0.1,0.1,0.19,0.09,0.9,X,0.67,0.75
5,10,0.1,0.1,0.13,0.03,0.9,MAX,0.67,0.75
5,10,0.1,0.1,0.35,0.25,0.7,T50,0.4,0.38
5,10,0.1,0.1,0.15,0.05,0.9,MS,0.67,0.75
5,10,0.1,0.1,0.1,0.0,0.9,HDy,0.67,0.75
5,10,0.1,0.1,0.06,0.04,0.9,DyS,,0.97
5,10,0.1,0.1,0.17,0.07,0.9,SORD,0.67,0.75
5,10,0.1,0.1,0.27,0.17,0.8,SMM,0.5,0.5
