,sample,test_size,alpha,actual_prop,pred_prop,abs_error,accuracy,quantifier,f-measure,best_threshold
167,7,10,0.05,0.0,0.01,0.01,1.0,DyS,,0.75
168,7,10,0.05,0.0,0.0,0.0,1.0,SORD,,0.75
169,7,10,0.05,0.0,0.09,0.09,0.9,SMM,,0.5
170,8,10,0.05,0.0,0.1,0.1,0.9,CC,,0.5
171,8,10,0.05,0.0,0.0,0.0,1.0,ACC,,0.94
172,8,10,0.05,0.0,0.0,0.0,1.0,X,,0.94
173,8,10,0.05,0.0,0.0,0.0,1.0,MAX,,0.94
174,8,10,0.05,0.0,0.0,0.0,1.0,T50,,0.94
175,8,10,0.05,0.0,0.0,0.0,1.0,MS,,0.94
176,8,10,0.05,0.0,0.01,0.01,1.0,HDy,,0.94
177,8,10,0.05,0.0,0.01,0.01,1.0,DyS,,0.94
178,8,10,0.05,0.0,0.0,0.0,1.0,SORD,,0.94
179,8,10,0.05,0.0,0.04,0.04,1.0,SMM,,0.94
180,9,10,0.05,0.0,0.3,0.3,0.7,CC,,0.5
181,9,10,0.05,0.0,0.25,0.25,0.7,ACC,,0.5
182,9,10,0.05,0.0,0.24,0.24,0.8,X,,0.59
183,9,10,0.05,0.0,0.24,0.24,0.8,MAX,,0.59
184,9,10,0.05,0.0,0.0,0.0,1.0,T50,,0.75
185,9,10,0.05,0.0,0.0,0.0,1.0,MS,,0.75
186,9,10,0.05,0.0,0.02,0.02,1.0,HDy,,0.75
187,9,10,0.05,0.0,0.01,0.01,1.0,DyS,,0.75
188,9,10,0.05,0.0,0.0,0.0,1.0,SORD,,0.75
189,9,10,0.05,0.0,0.14,0.14,0.9,SMM,,0.61
190,10,10,0.05,0.0,0.1,0.1,0.9,CC,,0.5
191,10,10,0.05,0.0,0.0,0.0,1.0,ACC,,0.88
192,10,10,0.05,0.0,0.0,0.0,1.0,X,,0.88
193,10,10,0.05,0.0,0.0,0.0,1.0,MAX,,0.88
194,10,10,0.05,0.0,0.0,0.0,1.0,T50,,0.88
195,10,10,0.05,0.0,0.0,0.0,1.0,MS,,0.88
