score,class
0.013609002,0
0.01797959,0
0.022244211,0
0.013788124,0
0.05289416,0
0.013667697,0
0.016103785,0
0.012271188,0
0.032741856,0
0.02874558,0
0.21219559,0
0.066335864,0
0.055934623,0
0.009260367,0
0.021170242,0
0.0149213355,0
0.0068246424,0
0.012346917,0
0.4084411,0
0.011795658,0
0.005954682,0
0.10485384,0
0.0030184404,0
0.03224147,0
0.6760429,0
0.004624685,0
0.0877235,0
0.0027351696,0
0.068162866,0
0.24582432,0
0.0033261087,0
0.002146097,0
0.28600585,0
0.014916768,0
0.06280666,0
0.007558927,0
0.010108137,0
0.020135907,0
0.066453725,0
0.05192071,0
0.011686686,0
0.016983807,0
0.05682202,0
0.0055994,0
0.032986883,0
0.009163015,0
0.007075619,0
0.09882038,0
0.0024486026,0
0.5794277,0
0.0046110037,0
0.0051785717,0
0.03811556,0
0.05880762,0
0.009102144,0
0.0073975823,0
0.062517665,0
0.0055142627,0
0.087490916,0
0.011401225,0
0.5225792,0
0.13767757,0
0.0041607246,0
0.7069278,0
0.0108488,0
0.0039696866,0
0.0029577098,0
0.0114022875,0
0.030942073,0
0.044209648,0
0.01215264,0
0.0061425585,0
0.011745019,0
0.024365477,0
0.007408301,0
0.0061437753,0
0.030703424,0
0.3666413,0
0.03458361,0
0.0138928685,0
0.107555024,0
0.01210218,0
0.014184803,0
0.14311743,0
0.0037534554,0
0.0023465606,0
0.005744807,0
0.029267743,0
0.6580642,0
0.02531739,0
0.007814735,0
0.2175436,0
0.0437721,0
0.004790468,0
0.09204442,0
0.1649473,0
0.12424052,0
0.08242169,0
0.0068634497,0
0.0027225013,0
0.012144484,0
0.01370907,0
0.08118959,0
0.011716601,0
0.012199438,0
0.003841264,0
0.009020403,0
0.029548401,0
0.032609724,0
0.013936487,0
0.019969977,0
0.006408638,0
0.068930045,0
0.018750424,0
0.016717847,0
0.0034631793,0
0.03030927,0
0.013839409,0
0.007256392,0
0.010448618,0
0.0037722152,0
0.026114717,0
0.12432006,0
0.0133132385,0
0.004060522,0
